date,id,text,username
2022-04-27T14:22:00+00:00,1519320966773547000,"DJ Tim Westwood steps down from Capital Xtra show following sexual misconduct claims
https://t.co/dU5T6ZhI56",BBCBreaking
2022-04-24T18:03:13+00:00,1518289473846530000,"Emmanuel Macron set for clear victory in France’s presidential election, beating far right candidate Marine Le Pen, projections show https://t.co/eT5ZLZRguL",BBCBreaking
2022-04-27T10:16:44+00:00,1519259243370750000,"Government policies of discharging patients from hospital to care homes in England at start of pandemic were ""unlawful"", High Court judges rule https://t.co/WGs14LNBqW",BBCBreaking
2022-04-30T13:45:39+00:00,1520398983558045700,"Neil Parish says he's resigning as an MP after admitting he watched pornography twice in the House of Commons 

https://t.co/gz7CGh721v",BBCBreaking
2022-04-30T12:12:58+00:00,1520375657573892000,"Conservative MP Neil Parish, who is being investigated for allegedly watching pornography in the House of Commons, expected to resign - BBC told

https://t.co/gnEDqFemXz",BBCBreaking
2022-04-29T17:04:52+00:00,1520086729633501200,British-born Islamic State militant Alexanda Kotey sentenced to life over murders of American hostages in Syria https://t.co/jG7FdBIofT,BBCBreaking
2022-04-29T14:50:22+00:00,1520052879314362400,"Former Wimbledon champion Boris Becker jailed for two and half years for hiding assets to avoid paying debts

https://t.co/afBKGESjAx",BBCBreaking
2022-04-29T14:33:34+00:00,1520048652164780000,"Conservative MP Neil Parish investigated for allegedly watching pornography in the House of Commons

https://t.co/wcJuJW8BEg",BBCBreaking
2022-04-28T15:29:01+00:00,1519700220388458500,"US President Biden proposes record $33bn aid package to help Ukraine, hours after Russia warns West against sending more weapons 

https://t.co/DO0CGL4KH1",BBCBreaking
2022-04-28T06:49:20+00:00,1519569434242863000,"Man charged with murders of four family members stabbed to death in south-east London
https://t.co/bJI8ntsXma",BBCBreaking
2022-05-01T13:46:34+00:00,1520761599283404800,"Evacuation of civilians trapped in a steel plant in the Ukrainian city of Mariupol is underway, UN says

Follow the latest https://t.co/o9q503pUrp",BBCBreaking
2022-04-28T14:51:44+00:00,1519690837654966300,"British national killed in Ukraine and second is missing, Foreign Office says

https://t.co/ZfZaPNcqOk",BBCBreaking
2022-04-26T12:04:03+00:00,1518923862586675200,"Ex-Radio 1 DJ Tim Westwood accused of sexual misconduct by multiple women, in joint investigation by BBC and Guardian
 
https://t.co/oRt5O2cHCx",BBCBreaking
